+----------------------------------+----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+----------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+
|              Metric              |          P1          |           P2          |           P3          |           P4          |           P5           |           P6           |           P7          |          P8          |           P9           |          P10           |          P11          |          P12          |          P13          |          P14          |          P15          |          P16           |
|            Gini index            |  0.007039010139199164 |  0.008983492966382678 | 0.011357587784125656 | 0.0003065447299852586 | 0.0008975326933738925  | 0.0008975326933738925  |  0.007563705149705169 |  0.007563705149705169 |  0.002740853505528884 | 0.0010004591137799945 |  0.004982640819402806 |  0.011001396147620857 |  0.004147988117742307 | 0.006562236298580881 | 0.006562236298580881 | 0.0004958415783206105  |
|      Difference in Support       |  0.050930183207186806 |   0.0556695197000778  |  0.0604088561929688  |  0.02488479262672811  |   0.0163401004456391   |   0.0163401004456391   |  0.045483483058640445 |  0.045483483058640445 |  0.020372073282874725 |  0.02119883040935673  |  0.02511140977576572  |  0.03731343283582089  |  0.030558109924312085 | 0.022388059701492536 | 0.022388059701492536 |  0.010599415204678365  |
|          Bigger Support          |  0.07462686567164178  |  0.07462686567164178  | 0.07462686567164178  |  0.05714285714285714  |  0.04477611940298507   |  0.04477611940298507   |  0.05970149253731343  |  0.05970149253731343  |  0.029850746268656716 |  0.03508771929824562  |  0.029850746268656716 |  0.03731343283582089  |  0.04477611940298507  | 0.022388059701492536 | 0.022388059701492536 |  0.01754385964912281   |
|            Confidence            |   0.6666666666666667  |   0.7142857142857143  |  0.7692307692307692  |  0.16666666666666666  |          0.5           |          0.5           |   0.7272727272727273  |   0.7272727272727273  |   0.6666666666666666  |   0.3333333333333333  |          0.8          |          1.0          |   0.6666666666666667  |         1.0          |         1.0          |   0.3333333333333333   |
|          All-Confidence          |  0.07462686567164178  |  0.07462686567164178  | 0.07462686567164178  |  0.05714285714285714  |  0.04477611940298507   |  0.04477611940298507   |  0.05970149253731343  |  0.05970149253731343  |  0.029850746268656716 |  0.03508771929824562  |  0.029850746268656716 |  0.03731343283582089  |  0.04477611940298507  | 0.022388059701492536 | 0.022388059701492536 |  0.01754385964912281   |
|               Lift               |   1.716417910447761   |   1.8390191897654586  |  1.9804822043628012  |   1.6428571428571428  |   1.287313432835821    |   1.287313432835821    |   1.8724559023066487  |   1.8724559023066487  |   1.716417910447761   |   2.017543859649123   |   2.059701492537313   |   2.574626865671642   |   1.7164179104477613  |  2.574626865671642   |  2.574626865671642   |   2.017543859649123    |
|        Standardised Lift         |   0.6428571428571428  |   0.6923076923076925  |         0.75         |  0.09090909090909091  |   0.4545454545454545   |   0.4545454545454545   |          0.7          |          0.7          |   0.5999999999999999  |  0.19999999999999998  |   0.7499999999999999  |          1.0          |   0.6250000000000001  |         1.0          |         1.0          |          0.0           |
|       Collective Strength        |   1.0852938937109793  |   1.0860127169029223  |  1.086718660585457   |   1.0411937262877928  |   1.048317800624016    |   1.048317800624016    |   1.0685961151583532  |   1.0685961151583532  |   1.0335696665459126  |   1.0248041244823667  |   1.0343245570566302  |   1.0439236943223633  |   1.0506247102319333  |  1.0262465221263841  |  1.0262465221263841  |   1.012299211649178    |
|              Cosine              |  0.22304986837273524  |  0.23087854826980508  |  0.2395939925913801  |  0.09759000729485331  |  0.14962640041614492   |  0.14962640041614492   |   0.2083729044282493  |   0.2083729044282493  |  0.14106912317171966  |  0.10814761408717503  |  0.15453348185725116  |  0.19316685232156394  |  0.17277368511627203  | 0.14962640041614492  | 0.14962640041614492  |  0.07647191129018725   |
|         Interestingness          |  0.049747063882436174 |  0.053300425588324464 | 0.057400458325887874 |  0.009523649493403747 |  0.02238693112885478   |  0.02238693112885478   |  0.04341634897061921  |  0.04341634897061921  |  0.019899828728652473 |  0.011695709904180042 |  0.02387979447438297  |  0.03731186537382401  |  0.02984924150513971  | 0.02238749541517366  | 0.02238749541517366  |  0.005847904084232145  |
